time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/value_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/clip_fraction
2,-0.42760195,698,100.0,1,2048,,,,,,,,,,
8,-0.45989527500000005,493,100.0,2,4096,0.002057654710733914,0.5887312293052673,10,-1.0866608761250973,0.014619603,0.028191255405545235,0.2,-0.021899846562155288,0.0003,0.225341796875
12,-0.5201208852459016,476,100.0,3,6144,0.0015694035255364724,-1.273787021636963,20,-1.0625213775783777,0.0119517725,0.015065155923366547,0.2,-0.005946525344916154,0.0003,0.1228515625
17,-0.49092565432098767,470,100.0,4,8192,0.0023359526181593536,-0.012940764427185059,30,-1.0564574390649795,0.0134112295,-0.02952248603105545,0.2,-0.015103645870112814,0.0003,0.210107421875
22,-0.47112373999999996,458,100.0,5,10240,0.0014978021243223338,0.5803525447845459,40,-1.0597608767449855,0.012909582,-0.05657123029232025,0.2,-0.029437464522197844,0.0003,0.305029296875
27,-0.47017839,448,100.0,6,12288,0.001518163812579587,-0.274680495262146,50,-1.0543561283499003,0.00891686,0.01110299862921238,0.2,-0.0075646371129550975,0.0003,0.0482421875
32,-0.41547931,435,100.0,7,14336,0.0006679260049168078,-0.3630915880203247,60,-1.0406698517501354,0.012542231,-0.016370605677366257,0.2,-0.0132774816811434,0.0003,0.26181640625
37,-0.33260926999999996,435,100.0,8,16384,0.0004540420928151434,0.44091367721557617,70,-1.0326297953724861,0.010836447,-0.04726076126098633,0.2,-0.028765100357850314,0.0003,0.246240234375
45,-0.29120682000000003,404,100.0,9,18432,0.00034081245494235193,-0.42677628993988037,80,-1.0132971566170454,0.009272942,-0.03015762008726597,0.2,-0.010300131206167861,0.0003,0.05830078125
51,-0.23532263,400,100.0,10,20480,0.00024001276035505724,0.14369416236877441,90,-1.0160753209143878,0.011205661,-0.015520217828452587,0.2,-0.020612630747200454,0.0003,0.207373046875
56,-0.17863579,401,100.0,11,22528,0.00016636174852919795,0.03366285562515259,100,-0.9825375745072961,0.009499548,-0.019190754741430283,0.2,-0.02081786483176984,0.0003,0.125634765625
60,-0.15444952,403,100.0,12,24576,7.592178650384085e-05,0.21525973081588745,110,-0.9664451405405998,0.010371419,0.007420756388455629,0.2,-0.017259459095657802,0.0003,0.09638671875
66,-0.12468026,402,100.0,13,26624,5.436291574483221e-05,0.47150760889053345,120,-0.9490769485011696,0.010233317,-0.03655878081917763,0.2,-0.014203560029272921,0.0003,0.090185546875
70,-0.09737134000000001,405,100.0,14,28672,4.1354683128247415e-05,0.44591277837753296,130,-0.9353511169552803,0.0068064253,-0.008594386279582977,0.2,-0.01054053664993262,0.0003,0.06064453125
75,-0.07842825,404,100.0,15,30720,4.0927140048552246e-05,0.4618583917617798,140,-0.9275273118168116,0.011462673,-0.028903493657708168,0.2,-0.012210864940425382,0.0003,0.101513671875
80,-0.065055,407,100.0,16,32768,3.41198050591629e-05,0.33711063861846924,150,-0.8683071337640286,0.009155093,-0.012065614573657513,0.2,-0.010077615491172764,0.0003,0.07421875
86,-0.05551775999999999,404,100.0,17,34816,2.6926586917852548e-05,0.22107821702957153,160,-0.8499313808977604,0.0053991284,-0.025151288136839867,0.2,-0.006379283683781978,0.0003,0.058984375
91,-0.04978895,403,100.0,18,36864,2.6287907536470813e-05,0.20003068447113037,170,-0.7955892603844404,0.008105753,-0.02018181048333645,0.2,-0.006481911953596864,0.0003,0.054345703125
96,-0.042676530000000004,401,100.0,19,38912,1.6180760445649868e-05,0.12107884883880615,180,-0.7504919705912471,0.007420919,-0.015398373827338219,0.2,-0.01043527521105716,0.0003,0.048876953125
101,-0.036386449999999994,403,100.0,20,40960,1.6293250047283438e-05,0.1915273666381836,190,-0.6988496948033571,0.0050882297,-0.013376226648688316,0.2,-0.0072111363013391385,0.0003,0.0349609375
106,-0.03202992,402,100.0,21,43008,2.5188388184460565e-05,0.2582550048828125,200,-0.6394354728981853,0.0035489786,0.005437330808490515,0.2,-0.003148923855042085,0.0003,0.04091796875
112,-0.027484439999999995,400,100.0,22,45056,1.3273396292845519e-05,0.29206687211990356,210,-0.5821492142975331,0.005127447,-0.004860163200646639,0.2,-0.007235362360370345,0.0003,0.052978515625
117,-0.02273313,399,100.0,23,47104,3.0438310723468476e-05,0.2532339096069336,220,-0.5175195855088532,0.0048088864,-0.03024088591337204,0.2,-0.008845958122401498,0.0003,0.059326171875
123,-0.019877970000000002,398,100.0,24,49152,2.2092468097412165e-05,0.2898116111755371,230,-0.4338488378562033,0.003026268,-5.0396458391333e-05,0.2,-0.0060055463771277575,0.0003,0.04599609375
128,-0.01753429,399,100.0,25,51200,1.6813285100170106e-05,0.26741498708724976,240,-0.38417408149689436,0.0030071456,-0.005722038447856903,0.2,-0.003779112730990164,0.0003,0.042578125
